,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
8,,600883,7.21,1.407,17,600883.SH,236088000.0,博闻科技,434288.0,4757366.0,0.18395175,15.913,4090360.0,4733573.0,10.38,8823933.0,9.42,18478183.0,84.963,10.638,7.53,23235549.0
9,,002765,9.95,0.101,33,002765.SZ,,蓝黛科技,,,,,,,,,,,,,,
10,,002783,9.71,6.353,33,002783.SZ,,凯龙股份,,,,,,,,,,,,,,
11,,002747,19.00,3.037,33,002747.SZ,,埃斯顿,,,,,,,,,,,,,,
12,,002827,9.38,0.644,33,002827.SZ,,高争民爆,,,,,,,,,,,,,,
13,,600894,6.25,1.297,17,600894.SH,762409623.0,广日股份,-742210.0,-9376417.0,-0.09735056,27.157,-5309890.0,8628260.0,5.97,3318370.0,5.19,22384772.0,63.289,19.136,3.42,13008355.0
14,,002799,14.73,2.079,33,002799.SZ,,环球印务,,,,,,,,,,,,,,
15,,600862,26.84,4.844,17,600862.SH,134604624.0,中航高科,-1024641.0,-15045151.0,-0.76122273,10.394,-9112240.0,22412053.0,6.16,13299813.0,5.83,57345144.0,70.908,5.026,5.0,42299993.0
16,,002790,7.63,2.416,33,002790.SZ,,瑞尔特,,,,,,,,,,,,,,
17,,002808,7.37,10.000,33,002808.SZ,,恒久科技,,,,,,,,,,,,,,
18,,002819,27.02,-3.085,33,002819.SZ,,东方中科,,,,,,,,,,,,,,
19,,002845,12.22,1.411,33,002845.SZ,,同兴达,,,,,,,,,,,,,,
20,,600853,2.95,1.724,17,600853.SH,536807658.0,龙建股份,114391.0,-2566291.0,0.02130949,9.357,644518.0,1516345.0,3.74,2160863.0,3.53,8461002.0,34.296,5.899,3.1,5894711.0
21,,002763,7.71,1.181,33,002763.SZ,,汇洁股份,,,,,,,,,,,,,,
22,,600966,7.04,1.441,17,600966.SH,391983710.0,博汇纸业,-741754.0,-11946479.0,-0.18923082,11.136,-9994873.0,16597402.0,4.94,6602529.0,4.56,36836218.0,56.126,6.667,3.95,24889739.0
23,,600867,8.99,2.743,17,600867.SH,313723914.0,通化东宝,369464.0,3420221.0,0.11776724,18.333,-1262046.0,11775399.0,2.13,10513353.0,1.81,34427864.0,72.511,8.782,1.47,37848085.0
24,,600820,5.07,0.595,17,600820.SH,733521347.0,隧道股份,-854083.0,13455004.0,-0.11643601,11.243,-8666240.0,62683053.0,5.64,54016813.0,5.07,104748119.0,46.85,6.785,4.5,118203123.0
25,,002835,11.81,4.053,33,002835.SZ,,同为股份,,,,,,,,,,,,,,
26,,002756,128.10,4.418,33,002756.SZ,,永兴材料,,,,,,,,,,,,,,
27,,600976,44.59,7.110,17,600976.SH,153198600.0,健民集团,-268022.0,-7176748.0,-0.17495068,23.304,-5859259.0,10739998.0,12.54,4880739.0,11.46,21980353.0,54.08,18.605,7.8,14803605.0
28,,002811,8.35,0.481,33,002811.SZ,,郑中设计,,,,,,,,,,,,,,
29,,002768,27.20,1.682,33,002768.SZ,,国恩股份,,,,,,,,,,,,,,
30,,600836,6.31,2.769,17,600836.SH,308163375.0,上海易连,-454395.0,-15290925.0,-0.14745263,12.189,-5993800.0,8614126.0,9.02,2620326.0,7.86,29346836.0,15.945,8.911,7.06,14055911.0
31,,600823,2.34,1.739,17,600823.SH,478355338.0,世茂股份,-213972.0,-12000741.0,-0.04473076,18.322,-5045534.0,6242780.0,5.36,1197246.0,4.62,17457843.0,42.453,12.069,3.7,5457102.0
32,,600908,5.86,3.351,17,600908.SH,,无锡银行,,,,,,,,,,,,,,
33,,600983,7.27,0.972,17,600983.SH,122937750.0,惠而浦,-73864.0,-7551757.0,-0.06008244,30.864,-6341950.0,8921191.0,14.84,2579241.0,13.79,18554076.0,86.359,19.429,7.84,11002319.0
34,,002740,3.43,2.083,33,002740.SZ,,ST爱迪尔,,,,,,,,,,,,,,
